transaction_id,customer_id,amount,merchant,timestamp,location
H051,C003,14768,MakeMyTrip,2026-05-18 11:27,Dubai
H052,C003,25202,MakeMyTrip,2026-07-02 14:13,Singapore
H053,C003,11736,MakeMyTrip,2026-07-14 18:47,Delhi
H054,C003,20514,Louis Vuitton,2026-07-06 15:01,Singapore
H055,C003,26770,Emirates,2026-06-28 20:51,Delhi
H056,C003,15433,Emirates,2026-07-02 16:14,Mumbai
H057,C003,35166,MakeMyTrip,2026-07-08 12:01,Dubai
H058,C003,31113,MakeMyTrip,2026-07-09 14:41,Dubai
H059,C003,26702,Louis Vuitton,2026-03-06 18:16,Mumbai
H060,C003,61943,MakeMyTrip,2026-03-14 18:32,Dubai
H061,C004,1280,Street Vendor,2026-04-01 21:59,Chennai
H062,C004,1473,Street Vendor,2026-06-11 21:20,Chennai
H063,C004,355,Pharmacy,2026-03-22 20:20,Chennai
H064,C004,705,Auto Rickshaw,2026-06-13 22:47,Chennai
H065,C004,1360,Auto Rickshaw,,Chennai
H066,C004,1287,Pharmacy,2026-04-15 22:13,Chennai
H067,C004,447,Pharmacy,2026-06-21 21:21,Chennai
H068,C004,581,Pharmacy,2026-02-05 17:02,Chennai
H069,C004,1073,Pharmacy,2026-04-14 22:36,Chennai
H070,C004,886,Auto Rickshaw,2026-06-23 17:57,Chennai
H071,C004,318,Bakery,2026-07-23 21:29,Chennai
H072,C004,610,Bookstore,2026-02-26 20:42,Chennai
H073,C004,1244,Auto Rickshaw,2026-04-20 23:46,Chennai
H074,C004,973,Bakery,2026-02-24 23:30,Chennai
H075,C004,606,Bakery,2026-07-17 20:40,Chennai
H076,C004,1000,Street Vendor,2026-03-11 19:57,Chennai
H077,C004,383,Street Vendor,2026-02-23 18:04,Chennai
H078,C004,777,Auto Rickshaw,2026-02-27 20:24,Chennai
H079,C004,1296,Bookstore,2026-07-19 20:30,Chennai
H080,C004,3440,Local Cafe,2026-07-14 21:47,Chennai
H081,C005,4613,Croma,2026-04-01 16:21,Hyderabad
H082,C005,7624,Apple Store,2026-02-20 18:01,
H083,C005,1444,Amazon,2026-07-15 12:03,Hyderabad
H084,C005,6363,Amazon,2026-07-13 14:48,Hyderabad
H085,C005,7906,Amazon,2026-01-24 18:03,Hyderabad
H086,C005,6733,Amazon,2026-06-02 10:15,Hyderabad
H087,C005,1333,Apple Store,,Hyderabad
H088,C005,8619,Apple Store,2026-02-20 19:47,Bangalore
H089,C005,3683,Flipkart,2026-01-10 19:43,Hyderabad
H090,C005,7149,Croma,2026-01-19 20:15,Bangalore
H091,C005,5941,Flipkart,2026-01-26 19:50,Hyderabad
H092,C005,19682,Croma,2026-05-21 15:00,Hyderabad
H093,C005,9031,Amazon,2026-06-27 17:45,Bangalore
H094,C005,3885,Apple Store,2026-03-20 18:49,Bangalore
H095,C005,8136,Flipkart,2026-03-28 13:53,Hyderabad
H096,C005,5569,Flipkart,2026-04-19 19:42,Hyderabad
H097,C005,1470,Croma,2026-04-07 15:51,Hyderabad
H098,C005,5581,Flipkart,2026-03-18 10:33,Bangalore
H099,C005,2402,Amazon,2026-05-25 13:44,Hyderabad
H100,C005,9041,Croma,2026-03-08 16:44,Hyderabad
H101,C006,12878,Reliance Retail,2026-05-12 15:47,Ahmedabad
H102,C006,7764,Reliance Retail,2026-03-08 10:46,Ahmedabad
H103,C006,3958,Reliance Retail,2026-06-06 12:13,
H104,C006,6530,Reliance Retail,2026-05-20 13:06,Ahmedabad
H105,C006,6853,Reliance Retail,2026-01-23 17:08,Ahmedabad
H106,C006,2893,Reliance Retail,2026-02-21 16:06,Ahmedabad
H107,C006,11405,Reliance Retail,2026-03-06 09:16,Ahmedabad
H108,C006,9827,Reliance Retail,2026-04-03 18:40,Ahmedabad
H109,C006,4485,Reliance Retail,2026-03-03 12:07,Ahmedabad
H110,C006,8818,Reliance Retail,2026-02-25 17:24,Ahmedabad
H111,C006,9253,Reliance Retail,2026-04-10 18:39,Ahmedabad
H112,C006,14125,Reliance Retail,2026-06-07 13:42,Ahmedabad
H113,C006,5929,Reliance Retail,2026-01-14 16:44,Ahmedabad
H114,C006,6771,Reliance Retail,2026-03-23 16:04,Ahmedabad
H115,C006,6334,Reliance Retail,2026-06-26 12:27,Ahmedabad
H116,C006,5683,Reliance Retail,2026-07-05 10:03,Ahmedabad
H117,C006,7039,Reliance Retail,2026-03-15 10:29,Ahmedabad
H118,C006,13464,Reliance Retail,2026-05-16 16:05,Ahmedabad
H119,C006,9078,Reliance Retail,2026-01-03 12:43,Ahmedabad
H120,C006,11424,Reliance Retail,2026-07-22 13:36,Ahmedabad
H121,C007,,Swiggy,2026-03-06 20:40,Kolkata
H122,C007,1147,Swiggy,,Mumbai
H123,C007,3772,IRCTC,2026-04-27 08:29,Delhi
H124,C007,2467,Zomato,2026-04-28 07:42,Bangalore
H125,C007,4184,Zomato,2026-03-20 22:40,Delhi
H126,C007,822,Uber,2026-03-15 22:07,Mumbai
H127,C007,10993,IRCTC,2026-03-18 07:35,Kolkata
H128,C007,2240,OYO,2026-04-04 11:31,Bangalore
H129,C007,2790,Swiggy,2026-07-16 22:15,Delhi
H130,C007,1584,Zomato,2026-05-24 11:55,Bangalore
H131,C007,3799,Zomato,2026-03-27 07:18,Kolkata
H132,C007,4411,Cafe Coffee Day,2026-04-12 17:35,Mumbai
H133,C007,3490,Swiggy,2026-02-23 14:36,Delhi
H134,C007,3765,Uber,2026-06-26 19:24,Kolkata
H135,C007,1646,Swiggy,2026-05-19 17:55,Delhi
H136,C007,4006,Uber,2026-01-24 11:26,Bangalore
H137,C007,1664,Uber,2026-03-11 19:41,Kolkata
H138,C007,3091,Cafe Coffee Day,2026-04-11 22:55,Bangalore
H139,C007,960,Uber,2026-03-08 09:27,Kolkata
H140,C007,1223,Zomato,2026-01-02 17:50,Kolkata
H141,C008,3536,Myntra,2026-05-14 23:43,Kolkata
H142,C008,1992,Amazon,2026-04-20 00:15,Kolkata
H143,C008,5377,Amazon,2026-03-15 21:42,Kolkata
H144,C008,11405,Swiggy,2026-02-03 22:22,Kolkata
H145,C008,3050,Myntra,2026-03-15 01:19,Kolkata
H146,C008,3751,Swiggy,2026-04-19 21:36,Kolkata
H147,C008,3018,Amazon,2026-04-09 19:36,Kolkata
H148,C008,1001,Swiggy,2026-07-10 01:51,Kolkata
H149,C008,3486,Amazon,2026-03-22 01:46,Kolkata
H150,C008,1720,Myntra,2026-06-02 21:50,Kolkata
H151,C008,5347,Myntra,2026-03-11 00:26,Kolkata
H152,C008,1682,Netflix,2026-03-17 23:58,Kolkata
H153,C008,1947,Amazon,2026-04-26 21:47,Kolkata
H154,C008,1543,Myntra,2026-07-08 01:43,Kolkata
H155,C008,3855,Swiggy,2026-03-03 01:25,Kolkata
H156,C008,11697,Amazon,2026-06-22 21:37,Kolkata
H157,C008,5830,Swiggy,2026-02-16 19:39,Kolkata
H158,C008,,Amazon,2026-06-03 00:52,Kolkata
H159,C008,3075,Myntra,2026-01-02 21:31,Kolkata
H160,C008,2523,Swiggy,2026-04-12 00:47,Kolkata
H161,C009,753,DMart,2026-02-14 19:06,Jaipur
H162,C009,830,DMart,2026-01-23 14:13,Jaipur
H163,C009,441,DMart,2026-06-12 17:57,Jaipur
H164,C009,567,DMart,2026-01-28 16:05,Jaipur
H165,C009,857,DMart,2026-01-26 14:15,Jaipur
H166,C009,778,DMart,2026-05-07 18:13,Jaipur
H167,C009,438,DMart,2026-05-01 13:54,Jaipur
H168,C009,333,DMart,2026-01-22 09:08,Jaipur
H169,C009,1974,DMart,2026-03-02 11:47,
H170,C009,316,DMart,2026-07-12 17:37,Jaipur
H171,C009,715,DMart,2026-06-26 19:33,Jaipur
H172,C009,858,DMart,2026-04-28 15:27,Jaipur
H173,C009,702,DMart,2026-01-11 18:09,Jaipur
H174,C009,481,DMart,2026-06-11 15:38,Jaipur
H175,C009,664,DMart,2026-07-23 10:54,Jaipur
H176,C009,764,DMart,2026-04-08 15:21,Jaipur
H177,C009,608,DMart,2026-04-11 19:16,Jaipur
H178,C009,356,DMart,2026-01-27 10:05,Jaipur
H179,C009,581,DMart,2026-05-18 17:21,Jaipur
H180,C009,620,DMart,2026-07-14 09:18,Jaipur
H181,C010,14522,IndiGo,2026-02-22 21:14,Bangalore
H182,C010,14472,WeWork,2026-07-09 13:51,Bangalore
H183,C010,21381,Cafe Coffee Day,2026-05-22 06:38,Delhi
H184,C010,25723,Marriott,2026-06-25 15:58,Mumbai
H185,C010,3200,IndiGo,2026-06-13 08:09,Mumbai
H186,C010,4004,IndiGo,2026-04-14 20:21,Bangalore
H187,C010,13211,WeWork,2026-05-20 08:56,Delhi
H188,C010,8158,WeWork,2026-01-09 20:42,Mumbai
H189,C010,22892,Marriott,2026-07-17 09:22,Mumbai
H190,C010,12281,WeWork,2026-05-22 15:02,Bangalore
H191,C010,22638,IndiGo,2026-02-25 10:48,Mumbai
H192,C010,13751,IndiGo,2026-04-06 10:24,Bangalore
H193,C010,10540,Office Depot,2026-07-12 08:25,Delhi
H194,C010,4386,Marriott,2026-01-28 16:36,Bangalore
H195,C010,16252,WeWork,2026-01-13 06:20,Bangalore
H196,C010,23254,Office Depot,2026-03-03 19:54,Delhi
H197,C010,17276,Office Depot,2026-04-28 15:47,Bangalore
H198,C010,13913,WeWork,2026-06-04 22:32,Mumbai
H199,C010,28435,Marriott,2026-07-21 10:15,Delhi
H200,C010,11387,IndiGo,2026-07-25 08:11,Delhi
